Property Name,Address,Year Ending,Property GFA - Self-Reported (ft²),Year Built,Electricity Use - Grid Purchase (kWh),Natural Gas Use (therms),Fuel Oil #2 Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Direct GHG Emissions (Metric Tons CO2e)
Admiral Street Fire Station,"426 Admiral Street Providence, RI 02908",06/30/2011 12:00:00 AM,12850,1924,72589.1,845.37,979800,,102.1,1312011.2,77.2
Frank D. Spaziano Elementary School,"85 Laurel Hill Ave, Providence, RI 02909",06/30/2017 12:00:00 AM,58015,1908,102055.5,20661.72,,95,41.6,2414385.1,109.7
Oliver Hazard Perry (Providence Mayoral Academy ES),"370 Hartford Avenue Providence, Rhode Island 02909",06/30/2012 12:00:00 AM,182488,1929,125338.7,47300,0,88,28.3,5157655.6,251.2
Broad Street Fire Station,"847 Broad Street Providence, RI 02905

",06/30/2016 12:00:00 AM,9426,1942,69032.5,1006.57,373014,,75.2,709209.7,33
Dr. Jorge Alvarez High School,"375 Adelaide Ave, Providence, RI 02907",06/30/2017 12:00:00 AM,88000,2007,686159.9,37195.07,,58,68.9,6060684.9,197.6
Oliver Hazard Perry (Providence Mayoral Academy ES),"370 Hartford Avenue Providence, Rhode Island 02909",06/30/2010 12:00:00 AM,182488,1929,288110.4,80313.71,0,33,49.4,9014403.4,426.6
Leviton Dual Language School,"65 Greenwich St, Providence, RI 02907",06/30/2015 12:00:00 AM,40000,2002,266057.5,11731.03,0,88,52,2080891.4,62.3
Leviton Dual Language School,"65 Greenwich St, Providence, RI 02907",06/30/2014 12:00:00 AM,40000,2002,257806.2,10102.94,0,91,47.2,1889928.4,53.7
Leviton Dual Language School,"65 Greenwich St, Providence, RI 02907",06/30/2013 12:00:00 AM,40000,2002,281553.7,9074.68,0,89,46.7,1868129.1,48.2
Leviton Dual Language School,"65 Greenwich St, Providence, RI 02907",06/30/2012 12:00:00 AM,40000,2002,240014.5,6614.19,0,96,37,1480349,35.1
Dalrymple Boat House,"1000 Elmwood Ave, Providence, RI 02907",06/30/2011 12:00:00 AM,17474,1894,68390,0,437460,,38.4,670806.7,32.5
Camp Cronin,"1399 Ocean Road, Narragansett, RI 02882",06/30/2013 12:00:00 AM,4362,1960,4790.6,0,0,,2.8,16345.5,0
Department of Recreation,"One Recreation Way Providence, Rhode Island 02904",06/30/2016 12:00:00 AM,4186,2001,45646.4,,139932,,70.6,295677.4,10.4
Veazie Street Elementary School,"211 Veazie St, Providence, RI 02904",06/30/2013 12:00:00 AM,110000,1909,340700.9,57735.94,0,48,62.5,6936065.1,306.7
Carl G. Lauro Elementary School,"99 Kenyon St, Providence, RI 02903",06/30/2016 12:00:00 AM,117482,1921,200318.1,57122,,75,54.4,6395685.1,303.4
Allan Shawn Feinstein Elementary School @ Broad Street,"1450 Broad St, Providence, RI 02905",06/30/2012 12:00:00 AM,77899,1895,114774.7,625.84,0,,12.9,1002744.8,44
City Hall,"25 Dorrance St, Providence, RI 02903",06/30/2015 12:00:00 AM,99675,1878,563777.5,44958.81,0,94,64.4,6419489.9,238.8
Vartan Gregorian Elementary School,"455 Wickenden St, Providence, RI 02903",06/30/2016 12:00:00 AM,63000,1954,274864,37063,,39,73.7,4644136,196.9
Allens Avenue Fire Station,"776 Allens Avenue Providence, RI 02905",06/30/2015 12:00:00 AM,9440,1948,45540.4,6485.57,0,,85.2,803941,34.4
Museum of Natural History and Planetarium,"1000 Elmwood Ave, Providence, RI 02907",06/30/2017 12:00:00 AM,19500,1894,251852.4,,789912,,84.6,1649232.6,58.6
Allens Avenue Fire Station,"776 Allens Avenue Providence, RI 02905",06/30/2013 12:00:00 AM,9440,1948,69366.7,6571.58,0,,94.7,893837.4,34.9
